id,desc
1,Complete all Daily missions on this page
2,Complete an Observation in Echoes of Time
3,Consume 3 League Tickets
4,Complete 1 Battle in Practical Work
5,Trigger Special Event: Water Ball
6,Trigger Special Event: Hermit Crab
7,Trigger Special Event: Water Valve
8,Exchange 1 skin with Ocean Coins
9,Use 10 Sand Shovels in total
10,Use 40 Sand Shovels in total
11,Use 70 Sand Shovels in total
12,Use 100 Sand Shovels in total
13,Use 150 Sand Shovels in total
14,Obtain 1000 Points
15,Obtain 1500 Points
16,Obtain 2000 Points
17,Obtain 3000 Points
18,Obtain 6000 Points
19,Obtain 10000 Points
20,Finish 1 3-Star (or above) Internship Quest
