id,desc
1001,Planet der Quelle
1002,Planet der Mineralien
1003,Planet der Fröste
1004,Planet der Veilchen
1005,Planet des Abgrunds
1006,Planet der Rarität
1007,Planet der Glut
1008,Planet der Fülle
1009,Planet der Ewigkeit
2001,"Die Sterne schweben beieinander im grenzenlos Kosmos, als ob sie innerlich eng miteinander verbunden wären."
2002,"Ihr Reichtum an Mineralien hat diesem Planeten einen besonderen Glanz verliehen, der schon eine Menge Forscher fasziniert hat."
2003,Der Planet ist durch sein unverwechselbares Aussehen berühmt. Aufgrund seiner hohen Erkennbarkeit wurde er eine Zeit lang als Wegweiser betrachtet.
2004,"Ein von mehreren lila Schutzsternen umgebener mystischer Planet. Du musst dich gut wappnen, um dich ihm zu nähern."
2005,"Im kalten Licht scheint dieser graue Planet wie eine stumme Welt. Wenn du ihn lange anblickst, fällst du unwillkürlich in tiefe Gedanken..."
2006,Mit siebenfarbigen Halonen ringsum und glänzend fließenden Sternen gilt dieser Planet als eins der schönsten Juwelen im Kosmos.
2007,"Rote Glut und kreisender Sternenstaub haben diesen Planeten zu einer anmutigen Nymphe gemacht, die aus der Ferne ihre langen Ärmel schwenkt."
2008,Gerüchten zufolge wird dieser isolierter Planet wegen seiner reichen Ressourcen von einer mystischen Kraft umgeschlossen und beschützt.
2009,Ein schillernder Himmelskörper von extremer Schönheit und Heimat des Ewigen Gebieters. Wird manchmal von Galaxie-Piraten besucht.
