id,desc
40101,"아묘한테 긁혔더니, 적련이 사과하며 심쿵 펀드를 조금 줬습니다."
40102,브루노와 밤까지 놀아줘서 황월영이 답례로 심쿵 펀드를 많이 줬습니다.
40103,육손이 달려와 내가 안아 올리고 있는 러블리를 보고 나에게 유괴를 의심합니다.
40201,풍선의 품질이 좋지 않아 잘 팔리지 않습니다.
40202,"이사우와 야곱의 이야기에 의하면, 첫 손님인 것 같습니다."
40203,대량의 풍선을 가지고 다녀서 오가는 사람들의 주목을 끌었습니다.
40301,"케이크 가게 신상품의 맛이 꽤나 이상 했지만, 얼굴색 하나 바꾸지 않고 다 먹었습니다."
40302,새 차를 한 모금 마시고 토해 버려서 가게에서 쫓겨났습니다.
40303,새로운 화과자가 일품이어서 무심코 근처에 있는 손님에게도 권했습니다.
40401,DEF에 끌려가 열심히 일했습니다.
40402,"여몽은 전혀 길을 몰랐고, 이상한 숲에서 헤매다가 보물 상자를 발견했습니다!"
40403,단골 카지노에 끌려가 심쿵 펀드를 조금 땄습니다.
40501,바닐라의 책이 아닌 것 같습니다.
40502,조식은 감사의 뜻으로 아이스크림을 사 주었습니다.
40503,펜리르는 책을 보지 않고 찢어버렸습니다.
40601,"고양이는 동물 보호부에 돌아갔고, 황월영에게 뭔가 부족한 게 없느냐고 물었습니다."
40602,간식을 고양이에게 줬지만 고양이는 조금 냄새를 맡은 후 외면했습니다.
40603,아묘를 본 고양이는 기쁜 듯 달려들었습니다.
40701,바닐라는 흐물흐물한 여우 귀가 마음에 든 듯 계속 만지고 있었습니다.
40702,지나가던 펜리르에게 자신이 더 어울린다는 이유로 빼앗겼습니다.
40703,큰 토끼 귀가 눈 앞에 내려와 앞이 안 보여 넘어졌습니다.
40801,은월 특제 주먹밥이 아주 맛있습니다.
40802,여몽이 괜히 많은 양의 고추냉이를 넣어 눈물이 납니다.
40803,"유선에게 도시락을 뺴앗기고 말았고, 배가 고픕니다..."
40901,장합에게 가진 재산을 몽땅 빼앗겼습니다.
40902,장합은 거절당한 충격으로 한동안 기분이 나빴습니다.
40903,운이 좋아 일등상을 탔습니다.
41001,위연이 바이올린을 연주해 모두의 박수를 받았습니다.
41002,채문희가 연주하는 음색에 이끌려 나비가 날아왔습니다.
41003,가브리엘은 하프가 고장나서 연주를 못했습니다.
41101,강아지가 식욕이 왕성해져 하루 여섯 끼를 달라고 졸라 이번 달 지갑 사정이 안좋습니다!
41102,동물 보호부는 이미 벅찬 모양입니다. 황월영이 먹이와 필요한 도구를 나눠 줄 테니 직접 길러 달라고 부탁했습니다.
41103,"분실물 보관소에 있던 후배가 비웃었지만, 떨어뜨린 열쇠를 발견해 찾아온 보람은 있습니다."
41201,은방울꽃을 따려다가 허저에게 잡혀 호되게 꾸지람을 들었습니다.
41202,"민들레 바구니는 아주 깨끗한데, 다만 갑자기 바람이 불자 민들레 씨가 주변을 맴돌았습니다."
41203,선명한 해바라기는 많은 후배들의 눈길을 끈 동시에 많은 벌을 끌어당겼습니다.
41301,장비는 익숙한 손놀림으로 장비를 꺼내 불 피우는 것은 물론이고 맛있는 요리까지 해줬습니다.
41302,축융은 두말없이 해주겠다고 했지만 화력을 잘못 조절해 옆에 있던 나무가 타버렸습니다.
41303,조조는 천둥 번개를 떨어뜨려 연료로 삼을 가지들을 모두 새까맣게 태워 버렸습니다……
41401,"한정판 초 귀중품이었다니, 수집가들 사이에서 초고가로 거래되고 있었습니다."
41402,책에 실린 모든 방법은 낡았고 전혀 도움이 되지 않았습니다.
41403,자료를 보고 유몽의 비밀을 알았는데 의외로 재밌습니다.
41501,영업 방해라는 말을 듣고 가게에서 쫓겨났습니다.
41502,마치 맞춤형처럼 딱 맞아서 나도 모르게 사 버렸습니다.
41503,가게에서 나오려고 했을 때 가게 주인의 부탁으로 의상 모델이 되어 보수를 조금 챙겼습니다.
41601,들고있던 물이 벌써 다 마시고 없었고 빈 페트병을 쓰레기통에 던져 버렸습니다.
41602,자동판매기가 고장나서 음료수가 잘 나오지 않았습니다.
41603,마침 100명째에 방문한 손님이었기 때문에 무료로 카푸치노를 받았습니다.
41701,"12번째 접시를 깨뜨린 것과 동시에, 장비에게 해고라는 말을 들었습니다."
41702,학생회 청소를 도왔더니 놀이공원의 페어 티켓을 받았습니다. 어떤 후배와 같이 가시겠습니까?
41703,충분한 각오를 했겠지만 동물 보호부의 화장실 청소는 정말 너무 힘들었습니다.
41801,마침 1000명째 손님이 와서 무료로 대접받았습니다.
41802,해산물 레스토랑에서 원술을 만나 원술의 후한 대접을 받았습니다.
41803,식사를 즐기던 중 옆을 지나던 손님이 발이 미끄러져 손에 들고 있던 주스를 내 옷에 쏟았습니다.
41901,영화관 설비가 고장나는 바람에 영화관을 나왔습니다.
41902,예상보다 무서워 관객들의 비명소리가 계속됐습니다.
41903,"감동적인 스토리에 눈물이 멈추질 않아, 일부러 가지고 온 박스 티슈를 모두 소진했습니다."
42001,옆에서 거대한 역기를 드는 후배가 쳐다봐 너무 긴장해 가벼운 아령조차 제대로 들지 못했습니다 .
42002,평소 은월 선배에게 쫓기는 탓에 체력이 늘었고 러닝머신이 망가질 정도로 뛰어 변상해야 합니다.
42003,"임시 트레이너가 은월 선배였고, 지옥 훈련으로 녹초가 됐습니다."
42101,맛이 없다고 트집을 잡아 온 손님이 가게를 파괴했기 때문에 고액의 배상금을 청구했습니다.
42102,신청이 계속 통과되지 않아 자금을 증권 투자로 돌렸더니 꽤 이익을 얻었습니다.
42103,아이돌 그룹은 큰 인기를 얻었고 성공헀습니다.
