id,desc
31001,"경고：\n봉인이 다시 풀렸습니다. 인류는 다시 한 번 카오스의 힘에 의해 지배되는 두려움을 떠올립니다. 카오스의 힘은 무너진 세계의 균형에서 비롯된 산물, ""이""의 힘이 숨어있습니다."
31002,마염세례
31003,카오스 리더가 내뿜는 마염은 적에게 거대한 대미지를 입히며 적의 모든 버프 효과를 폭발합니다. 한 개의 버프가 폭발할 때마다 폭발 대미지가 증가합니다.
31004,뭉개기
31005,"카오스 리더가 지면을 강타하여, 모든 적에게 일정 대미지를 가합니다. 이 스킬로 적을 쓰러뜨렸을 경우 자신의 턴이 리셋됩니다."
31006,인멸
31007,"HP가 가장 낮은 적을 추방합니다. HP 최대치 및 방어력을 무시하는 대미지 입힙니다. 대미지가 HP를 초과할 경우, 남은 대미지는 기타 생존한 캐릭터에게 분배됩니다."
31008,카오스 갑옷
31009,라운드 효과：자신의 라운드 시작 시 2라운드 동안 대미지 스킬·마이너스 효과를 두 번 무효화할 수 있는 실드를 획득한다.
32001,강적 설명：\n암흑 기사 카스나는 카오스로 인해 끝없는 욕망에 지배당했다. 그는 이제 살아갈 이유조차 잃어 버렸고 그저 방황할 뿐이었다..
32002,공포 형해
32003,"뒷줄 적에게 큰 대미지를 입히고 랜덤으로 1명의 소녀를 마인드 컨트롤한다(혼란 상태의 소녀는 자신의 아군을 2라운드 동안 공격하게 된다). 또한 아군 중 HP가 가장 적은 캐릭터를 분신으로 변화시키며, 이때 분신은 그 캐릭터의 특성을 물려받고 가하는 대미지와 받는 대미지가 모두 2배가 된다."
32004,마인드 컨트롤
32005,"일반 공격시 50%의 확률로 2 라운드 동안 적에게 마인드 컨트롤 효과를 부여하고, 조종 당한 소녀는 공격 시 랜덤으로 1명의 아군 소녀를 공격한다."
32006,왕의 군세
32007,암흑 기사의 분신 등장 시 암흑 기사 및 그 분신의 공격력과 돌파력이 증가
32008,명령
32009,"흑기사가 공격할 때, 분신은 각각 랜덤으로 적 소녀를 선택하여 공격한다. 분신은 공격 시 체력을 흡수할 수 있다."
