id,desc
1001,Planète des Origines
1002,Planète aux Richesses
1003,Planète de Jade
1004,Planète aux Lilas
1005,Planète de la Pénombre
1006,Planète des Mirages
1007,Planète Nacarat
1008,Planète Esseulée
1009,Planète de l'Éternité
2001,Ces planètes sont connectées les unes aux autres par un lien mystérieux.
2002,D'innombrables explorateurs sont attirés par l'éclat de la richesse minérale qui provient de cette planète.
2003,La forme unique de cette planète permettait autrefois d'obtenir les coordonnées de son emplacement en raison de sa forte reconnaissance.
2004,"Si vous souhaitez vous poser sur cette planète aux reflets violets, vous devrez prendre garde aux satellites qui tournent constamment autour d'elle."
2005,"Cette planète est vaste, silencieuse, et sans vie, y rester trop longtemps pourrait vous faire perdre vos sens…"
2006,Les anneaux aux sept couleurs de cette planète constituent le trésors le plus précieux de l'univers.
2007,"Lorsque vous contemplez cette planète aux lueurs rouges de loin, vous apercevrez une fée agitant sa robe de soie."
2008,"Cette planète solitaire et éloignée du reste du cosmos, est enveloppée d'une force mystérieuse pour protéger ses riches ressources."
2009,"Nul n'ose s'approcher de la planète aux flammes éblouissantes, palais du Tyran de la Galaxie. Quiconque osera s'en approcher devra d'abord abattre les Pirates de l'Espace qui s'y trouvent."
