id,desc,answer_desc,result_desc
1,"Vous gardez la tête baissée et vous vous amusez à essayer de marcher sur votre ombre, sans vous en rendre compte vous avez pénétré dans le petit jardin dont Elfe Bourgeon s'occupe. Après avoir reçu un cours d'Elfe Bourgeon, elle vous offre des graines de plantes.",,
2,Hottie a appris que ses élèves avaient réussi le dernier examen et est très heureuse. Elle vous a vu passé la porte de la classe et vous a fait un cadeau.,,
3,"Gambler et Saint se disputent pour savoir qui peut utiliser la machine à capsules pour obtenir les nouvelles récompenses, à force de se disputer, personne n'a encore fait de tirage jusqu'à maintenant.",,
4,"Vous avez reçu un cadeau d'Ésaü. Tout joyeux, vous êtes sur le point de l'ouvrir quand Ésaü vous précise qu'elle comptait sur vous pour l'apporter à sa sœur Jacob et qu'elle espère que vous ne l'ouvrirez pas.",,
5,"Vous trouvez un livre ouvert sur la table, qui a bien pu le laisser ici.",Rapporter le livre à Libraria. |Rapporter le livre à Valeera.,"Ce livre n'appartient pas à Libraria mais elle tout de même très heureuse d'être la première personne à qui vous avez pensé. |Valeera est très heureuse car elle n'avait pas fini ce livre qui est un conte de fée, elle se demandait vraiment où elle l'avait mis~"
6,"Vous apercevez un Biscuit Spritueux sur la route, il n'y a personne autour.",Le ramasser et le manger rapidement. |L'ignorer et passer votre route.,"Un chat avec une très grosse queue sort soudainement des herbes pour vous griffer le pied, il semble que vous avez volé sa nourriture. |Vous marchez quelque pas, en vous retournant, vous remarquez que le biscuit a disparu."
7,"Vous venez de finir de prendre votre bain, vous remarquez que le sèche-cheveux est cassé et vous ne pouvez pas vous sécher les cheveux.",Retourner au dortoir avec les cheveux mouillés. |S'asseoir et attendre que vos cheveux sèchent.,"Sur le chemin, vous rencontrez Blowie qui vous prête son sèche-cheveux afin que vous puissiez sécher vos cheveux. |Vous vous êtes endormi, à cause du vent et vos cheveux mouillés vous tombez malade."
8,"C'est la période de floraison des fleurs de cerisier sur le Campus, la brise souffle et il y a de nombreuses pétales éparpillées sur le sol.",Balayer le sol. |Admirer tranquillement le magnifique Campus.,Vous venez de balayer la motié des pétales quand un coup de vent vient éparpiller toutes les pétales. |Vous avez admirer les fleurs de cerisier pendant trop longtemps et vous avez oublié que vous aviez un Job important à faire.
9,"La rue commerçant dans laquelle vous vous trouvez est bondée de monde, en avançant dans la foule vous vous retrouvez derrière une paire d'ailes blanches.",Tendre la main pour toucher les plumes. |Se décaler sur le côté pour les éviter.,"La propriétaire en sentant que quelqu'un touche ses plumes prend peur et utilise insconsciemment son pouvoir, votre main est alors brûlée. |C'est Phénix, elle semble être perdue depuis un moment, en vous voyant elle est très heureuse. Vous l'aider à aller dans son magasin préféré et en retour elle vous offre une de ses plumes."
10,"Vous avez rencontré des ennemis. (L'échec augmentera le temps d'exploration, et éviter n'aura aucune récompense)",,"Vous avez déjà vaincu les ennemis! | Échoué, mais vous avez réussi à vous enfuir."
