id,name,desc
1,Vide,
2,Banquise I,Couche de glace formée à la surface de l'eau. Occupée par des Armées Défensives d'une puissante offensive.
3,Banquise I,Couche de glace formée à la surface de l'eau. Occupée par des Armées Défensives d'une puissante défense.
4,Banquise II,Couche de glace située près de la Montagne de Glace. Occupée par des Armées Défensives d'une puissance redoutable et d'une offensive infaillible.
5,Banquise II,Couche de glace située près de la Montagne de Glace. Occupée par des Armées Défensives d'une puissance redoutable et d'une défense infaillible.
6,Station de Recherche,"Structure de recherche scientifique laissée par Ruben. Lors d'un combat à moins de 3 cases, tous les joueurs de la Faction de proximité recevront un bonus spécial."
7,Iceberg,Bloc de glace flottant. Occupée par des Armées Défensives d'une puissance redoutable et d'une offensive infaillible.
8,Iceberg,Bloc de glace flottant. Occupée par des Armées Défensives d'une puissance redoutable et d'une défense infaillible.
9,Montagne de Glace,"Montagne située au centre de la région du Nord et recouverte de neige toute l'année. Une créature du Chaos d'une grandeur titanesque, surnommée Avalanche habite ces lieux."
10,Camp - Comité de Discipline,"Camp de base du Comité de Discipline. Lors d'un combat à moins de 3 cases, tous les joueurs de cette Faction recevront un bonus de camp."
11,Camp - DEF,"Camp de base du DEF. Lors d'un combat à moins de 3 cases, tous les joueurs de cette Faction recevront un bonus de camp."
12,Camp - Union Étudiante,"Camp de base de l'Union Étudiante. Lors d'un combat à moins de 3 cases, tous les joueurs de cette Faction recevront un bonus de camp."
13,測試用格,不翻譯
14,測試用格,不翻譯
