id,decision_desc
1,"Une lampe à huile exotique se trouve sur le sol, il semble qu'on peut entendre faiblement un appel à l'aide…"
2,"Vous rencontrez un lapin portant une montre de poche qui court avec hâte, après l'avoir suivi, vous le voyez pénétrer dans un terrier sombre…"
3,Vous rencontrez un vieil homme en haillons sur le bord de la route. Il vous donne une poignée de graines de haricots suspectes. Que souhaitez-vous faire ?
4,Vous entrez dans une pièce et trouvez une pomme sur la table. Il semble que quelqu'un a croqué dedans.
5,"Il y a une pile d'allumettes sur le sol, que souhaitez-vous faire ?"
6,Il y a une porte fermée à l'entrée de la grotte qui semble nécessiter un mot de passe pour s'ouvrir …
7,"Vous marchez sur la route quand soudain qu'un vent froid semble souffler derrière vous, vous choisissez de…"
8,"Vous trouvez un miroir magique, ce dernier vous annonce: ""Vous pouvez me poser une question."""
9,Il y a une douce odeur dans l'air. Vous suivez l'odeur et vous tombez sur une petite maison faite de bonbons. Que souhaitez-vous faire ?
10,Vous voyez un homme devant vous marchant le long de la route en jouant de sa flûte. Vous souhaitez…
